City,state,All Departments for City Council Video/audio,Planning Department Video/audio,City Council Minutes and Agendas,"Planning, Zoning, Land Use Minutes and Agendas",comments for CC PC and Agenda
Baltimore,Maryland,https://www.youtube.com/@TV25BCOCC/videos,https://www.youtube.com/@BaltimoreCityPlanning/videos,https://baltimore.legistar.com/Calendar.aspx,https://baltimore.legistar.com/Calendar.aspx,#REF!
Bronx,New York,https://legistar.council.nyc.gov/Calendar.aspx,https://legistar.council.nyc.gov/Calendar.aspx,https://legistar.council.nyc.gov/Calendar.aspx,https://legistar.council.nyc.gov/Calendar.aspx,
Bridgeport,Connecticut,https://www.youtube.com/@CityofBridgeport1901/videos,,https://www.bridgeportct.gov/government/boards-and-commissions/city-council/city-council/city-council-meeting-minutes-agendas-and-notices,https://www.bridgeportct.gov/government/boards-and-commissions/planning-and-zoning-commission/planning-and-zoning-commission-meeting-minutes-agendas-and-notices,"NA pc video
Note: Supplementary material package avl with url of cc minutes"
Tucson,Arizona,https://www.youtube.com/@CityofTucson/streams,https://www.youtube.com/@TucsonPDSD/videos,"https://www.tucsonaz.gov/Government/Mayor-Council-and-City-Manager/Meeting-Schedules-Agendas/Mayor-Council-Meeting-Document-Archive/Mayor-Council-Minutes-2024
https://tucsonaz.hylandcloud.com/221agendaonline/",https://www.tucsonaz.gov/Departments/Planning-Development-Services/Public-Meetings-Boards-Committees-Commissions/Planning-Commission,
El Paso,Texas,"https://elpasotexas.legistar.com/Calendar.aspx
https://www.youtube.com/@cityofelpasotx/streams
https://www.youtube.com/@cityofelpasotx/videos",https://www.youtube.com/@cityofelpasotx/streams,https://elpasotexas.legistar.com/Calendar.aspx,https://elpasotexas.legistar.com/Calendar.aspx,
Omaha,Nebraska,"https://www.youtube.com/@DOTComm2013/videos 
https://www.youtube.com/@DOTComm2013/streams ",https://www.youtube.com/@DOTComm2013/videos,https://cityclerk.cityofomaha.org/category/city-council-downloads/journals/2025-journals-journals/,https://planning.cityofomaha.org/boards/planning-board,
McAllen,Texas,https://www.youtube.com/@CityofMcAllen/streams,,https://www.mcallen.net/departments/commission/meetings,https://www.mcallen.net/advisory-boards/planning-zoning,
Hempstead,New York,"https://www.youtube.com/@TOHLivestream/streams
https://www.youtube.com/@TOHLivestream/videos","https://www.villageofhempstead.org/AgendaCenter/Search/? term=&CIDs=3,5,&startDate=&endDate=&dateRange=&dateSelector=  
https://www.youtube.com/@townofhempsteadny7474/streams ",https://www.hempsteadny.gov/AgendaCenter/Town-Board-2,"https://www.villageofhempstead.org/AgendaCenter/Search/?term=&CIDs=3,5,&startDate=&endDate=&dateRange=&dateSelector=",
Park City,Utah,https://parkcityut.portal.civicclerk.com/,https://parkcityut.portal.civicclerk.com/,https://parkcityut.portal.civicclerk.com/,https://parkcityut.portal.civicclerk.com/,
Upper Hanover,Pennsylvania,,,https://www.upperhanovertownship.org/government/board_of_supervisors/agendas___minutes.php,,
